maxIter,layer,blockSize,nb,lsvc,mlp,acc_3,acc_2
100,"[7, 4, 2]",16,0.5467980295566502,0.6936936936936937,0.702803738317757,0.7763578274760383,0.7460063897763578
100,"[7, 4, 2]",64,0.5467980295566502,0.6936936936936937,0.6602409638554216,0.7699680511182109,0.7827476038338658
100,"[7, 4, 2]",128,0.5467980295566502,0.6936936936936937,0.6602409638554216,0.7699680511182109,0.7827476038338658
100,"[7, 4, 2]",256,0.5467980295566502,0.6936936936936937,0.6602409638554216,0.7699680511182109,0.7827476038338658
100,"[7, 32, 64, 16, 2]",16,0.5467980295566502,0.6936936936936937,0.7136929460580913,0.7891373801916933,0.7795527156549521
100,"[7, 32, 64, 16, 2]",64,0.5467980295566502,0.6936936936936937,0.7315010570824524,0.7907348242811502,0.7971246006389776
100,"[7, 32, 64, 16, 2]",128,0.5467980295566502,0.6936936936936937,0.7315010570824524,0.7907348242811502,0.7971246006389776
100,"[7, 32, 64, 16, 2]",256,0.5467980295566502,0.6936936936936937,0.7315010570824524,0.7907348242811502,0.7971246006389776
500,"[7, 4, 2]",16,0.5467980295566502,0.6936936936936937,0.6925795053003534,0.7747603833865815,0.7827476038338658
500,"[7, 4, 2]",64,0.5467980295566502,0.6936936936936937,0.6619047619047619,0.7763578274760383,0.7827476038338658
500,"[7, 4, 2]",128,0.5467980295566502,0.6936936936936937,0.6619047619047619,0.7763578274760383,0.7827476038338658
500,"[7, 4, 2]",256,0.5467980295566502,0.6936936936936937,0.6619047619047619,0.7763578274760383,0.7827476038338658
500,"[7, 32, 64, 16, 2]",16,0.5467980295566502,0.6936936936936937,0.711864406779661,0.792332268370607,0.7827476038338658
500,"[7, 32, 64, 16, 2]",64,0.5467980295566502,0.6936936936936937,0.6977777777777778,0.7955271565495208,0.7827476038338658
500,"[7, 32, 64, 16, 2]",128,0.5467980295566502,0.6936936936936937,0.6977777777777778,0.7955271565495208,0.7827476038338658
500,"[7, 32, 64, 16, 2]",256,0.5467980295566502,0.6936936936936937,0.6977777777777778,0.7955271565495208,0.7827476038338658
1000,"[7, 4, 2]",16,0.5467980295566502,0.6936936936936937,0.6925795053003534,0.7747603833865815,0.7827476038338658
1000,"[7, 4, 2]",64,0.5467980295566502,0.6936936936936937,0.6682464454976303,0.7715654952076677,0.7827476038338658
1000,"[7, 4, 2]",128,0.5467980295566502,0.6936936936936937,0.6682464454976303,0.7715654952076677,0.7827476038338658
1000,"[7, 4, 2]",256,0.5467980295566502,0.6936936936936937,0.6682464454976303,0.7715654952076677,0.7827476038338658
1000,"[7, 32, 64, 16, 2]",16,0.5467980295566502,0.6936936936936937,0.7018255578093306,0.7955271565495208,0.7651757188498403
1000,"[7, 32, 64, 16, 2]",64,0.5467980295566502,0.6936936936936937,0.7091295116772823,0.7859424920127795,0.7811501597444089
1000,"[7, 32, 64, 16, 2]",128,0.5467980295566502,0.6936936936936937,0.7091295116772823,0.7859424920127795,0.7811501597444089
1000,"[7, 32, 64, 16, 2]",256,0.5467980295566502,0.6936936936936937,0.7091295116772823,0.7859424920127795,0.7811501597444089
1500,"[7, 4, 2]",16,0.5467980295566502,0.6936936936936937,0.6925795053003534,0.7747603833865815,0.7827476038338658
1500,"[7, 4, 2]",64,0.5467980295566502,0.6936936936936937,0.662004662004662,0.7715654952076677,0.7827476038338658
1500,"[7, 4, 2]",128,0.5467980295566502,0.6936936936936937,0.662004662004662,0.7715654952076677,0.7827476038338658
1500,"[7, 4, 2]",256,0.5467980295566502,0.6936936936936937,0.662004662004662,0.7715654952076677,0.7827476038338658
1500,"[7, 32, 64, 16, 2]",16,0.5467980295566502,0.6936936936936937,0.7041666666666667,0.7891373801916933,0.7731629392971247
1500,"[7, 32, 64, 16, 2]",64,0.5467980295566502,0.6936936936936937,0.7051546391752578,0.7795527156549521,0.7715654952076677
1500,"[7, 32, 64, 16, 2]",128,0.5467980295566502,0.6936936936936937,0.7051546391752578,0.7795527156549521,0.7715654952076677
1500,"[7, 32, 64, 16, 2]",256,0.5467980295566502,0.6936936936936937,0.7051546391752578,0.7795527156549521,0.7715654952076677
1800,"[7, 4, 2]",16,0.5467980295566502,0.6936936936936937,0.6925795053003534,0.7747603833865815,0.7827476038338658
1800,"[7, 4, 2]",64,0.5467980295566502,0.6936936936936937,0.6619718309859155,0.7715654952076677,0.7827476038338658
1800,"[7, 4, 2]",128,0.5467980295566502,0.6936936936936937,0.6619718309859155,0.7715654952076677,0.7827476038338658
1800,"[7, 4, 2]",256,0.5467980295566502,0.6936936936936937,0.6619718309859155,0.7715654952076677,0.7827476038338658
1800,"[7, 32, 64, 16, 2]",16,0.5467980295566502,0.6936936936936937,0.6896551724137931,0.792332268370607,0.7827476038338658
1800,"[7, 32, 64, 16, 2]",64,0.5467980295566502,0.6936936936936937,0.6991525423728814,0.7763578274760383,0.7731629392971247
1800,"[7, 32, 64, 16, 2]",128,0.5467980295566502,0.6936936936936937,0.6991525423728814,0.7763578274760383,0.7731629392971247
1800,"[7, 32, 64, 16, 2]",256,0.5467980295566502,0.6936936936936937,0.6991525423728814,0.7763578274760383,0.7731629392971247
