,precision,recall,f1-score,support
0,0.7815126050420168,0.8773584905660378,0.8266666666666667,106.0
1,0.7833333333333333,0.6438356164383562,0.706766917293233,73.0
accuracy,0.7821229050279329,0.7821229050279329,0.7821229050279329,0.7821229050279329
macro avg,0.7824229691876751,0.760597053502197,0.7667167919799498,179.0
weighted avg,0.782255136691548,0.7821229050279329,0.7777690035143725,179.0
